tid,start,end,activity
0,0,23069982,cut_tomato_prep
0,23069982,52207504,cut_tomato_core
0,52207504,53174309,cut_tomato_post
0,53174309,55808021,place_tomato_into_bowl_prep
0,55808021,64375919,place_tomato_into_bowl_core
0,64842653,70876854,cut_tomato_prep
0,70876854,88112664,cut_tomato_core
0,88112664,90046276,place_tomato_into_bowl_prep
0,90046276,91013081,place_tomato_into_bowl_core
0,96913929,115349912,cut_cheese_prep
0,115349912,150288267,cut_cheese_core
0,150288267,158156065,cut_cheese_post
0,158156065,159622942,place_cheese_into_bowl_prep
0,159622942,163056769,place_cheese_into_bowl_core
0,163056769,165057057,place_cheese_into_bowl_post
0,165423776,188893816,cut_lettuce_prep
0,188893816,198028462,cut_lettuce_core
0,198028462,201628980,place_lettuce_into_bowl_prep
0,201628980,212197166,place_lettuce_into_bowl_core
0,212197166,215064244,place_lettuce_into_bowl_post
0,225832459,230533134,add_salt_prep
0,230533134,232966817,add_salt_core
0,232966817,234733738,add_salt_post
0,235467177,247802283,add_vinegar_prep
0,247802283,250602686,add_vinegar_core
0,250602686,260570785,add_vinegar_post
0,261137533,266938367,add_oil_prep
0,266938367,272772539,add_oil_core
0,272772539,277373200,add_oil_post
0,278039962,285107645,add_pepper_prep
0,285107645,286307817,add_pepper_core
0,286307817,287941386,add_pepper_post
0,288174752,289041544,mix_dressing_prep
0,289041544,310744663,mix_dressing_core
0,310744663,325413438,mix_dressing_post
1,0,5934186,add_salt_prep
1,5934186,12401782,add_salt_core
1,12401782,14235379,add_salt_post
1,15702257,17269149,add_pepper_prep
1,17269149,22569910,add_pepper_core
1,22569910,25036932,add_pepper_post
1,25903723,28270730,add_vinegar_prep
1,28270730,35971837,add_vinegar_core
1,35971837,40205779,add_vinegar_post
1,40772527,47340137,add_oil_prep
1,47340137,51407389,add_oil_core
1,51407389,56708150,add_oil_post
1,56508122,56874841,mix_dressing_prep
1,56874841,63509128,mix_dressing_core
1,63509128,65342725,mix_dressing_post
1,67042969,86245729,cut_cheese_prep
1,86245729,114816502,cut_cheese_core
1,114816502,119517178,cut_cheese_post
1,118983768,129952011,cut_tomato_prep
1,129952011,149054757,cut_tomato_core
1,149054757,152221879,cut_tomato_post
1,154022137,168924279,peel_cucumber_prep
1,168924279,182859615,peel_cucumber_core
1,182859615,183959774,peel_cucumber_post
1,184426507,186226766,peel_cucumber_prep
1,186226766,218731438,peel_cucumber_core
1,218731438,231966674,peel_cucumber_post
1,238834327,242834902,cut_cucumber_prep
1,242834902,271472352,cut_cucumber_core
1,271472352,273372625,cut_cucumber_post
